gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76890.01487332644	3.0700916006874204	0.15487065293980032	19.823585310774106	1.863475588145952e-87	4.26735909685423e-85
ENSG00000154734	22850.972449931003	3.4405538193255585	0.17859279852859122	19.26479593618527	1.0608273397777728e-82	1.2146473040455498e-80
ENSG00000154723	7339.878592541855	2.5804480440327433	0.16353095591905198	15.779569253603999	4.301132332216786e-56	3.283197680258813e-54
ENSG00000180509	30213.536851864636	2.9417219950366658	0.19971933024163976	14.729280292886452	4.1813513578369854e-49	2.3938236523616744e-47
ENSG00000183145	9988.561987966954	2.8894672299260917	0.2483351504948262	11.635353368899304	2.7245941862503588e-31	1.2478641373026642e-29
ENSG00000276289	11786.732869339361	2.8585064257222568	0.46402360311632135	6.1602608283822295	7.262522512230052e-10	2.7718627588344696e-8
ENSG00000277277	724.3366375060077	0.9261023497081154	0.26420622925885084	3.5052252640144412	4.562210931368372e-4	0.014924947189762247
ENSG00000185437	2256.2089657110528	0.5128790834454697	0.19074768488396746	2.6887827433263793	0.007171307535709976	0.20527867820969808
ENSG00000160188	1876.29449061225	-0.5390987566301242	0.21886720641496324	-2.4631317110522946	0.013772931049452103	0.3411883981134729
ENSG00000154719	1373.9013611049056	-0.5907686491398311	0.24263305250408887	-2.434823463014691	0.014899056686177857	0.3411883981134729
ENSG00000157557	3474.068643253947	-0.4924090229688047	0.20946699701458468	-2.35077138636078	0.01873454033402424	0.3900190669537773
ENSG00000160207	885.3254426600263	0.6308909693458081	0.27472276006092144	2.296464148823724	0.021649356763924304	0.3963807800535151
ENSG00000177692	2181.2040860321504	0.4572993258805862	0.20041287175185035	2.2817862040658277	0.02250196567989387	0.3963807800535151
ENSG00000186930	103.45087122619076	-1.1283493276759735	0.5660232282237005	-1.9934682384271933	0.04621019813046227	0.723131552718801
ENSG00000205929	1354.567994528138	0.47065920482185875	0.23734626590360033	1.9830065707164735	0.04736669559293456	0.723131552718801
ENSG00000184012	5522.294195214083	-0.3964502362510306	0.20767331985169799	-1.9090089980462608	0.05626093091558448	0.7897129452068797
ENSG00000183036	968.7355218979508	-0.5320329009448744	0.28135073384151754	-1.8909952488148263	0.058624978465139546	0.7897129452068797
ENSG00000141959	16458.697666148528	2.003211186731321	1.0994338593787842	1.8220388335713076	0.06844909352750747	0.8708245787666228
ENSG00000187175	207.65098698632906	0.7775042078945578	0.4429407215724617	1.7553233875954752	0.07920400825295056	0.8899387303773597
ENSG00000166265	1222.47751120707	0.5287342853156978	0.30149731389270323	1.7536948455330637	0.0794828092375046	0.8899387303773597
ENSG00000159128	2809.995059520055	0.3442498081351811	0.19768346527622727	1.741419332437104	0.0816101019123343	0.8899387303773597
ENSG00000244624	102.03531400609992	0.9845405568004003	0.5766512854892557	1.7073413024044053	0.08775863350713789	0.8915311982803403
ENSG00000154721	3847.812548609919	-0.32582812565465835	0.19626114246120266	-1.6601764443466887	0.09687896193931271	0.8915311982803403
ENSG00000274391	3083.124223777654	0.2860759895372383	0.1728342460978653	1.6552043127798366	0.09788306070350662	0.8915311982803403
ENSG00000197683	369.2579463313413	-0.6857614993030082	0.4220507340043395	-1.624831907758173	0.10419838023501497	0.8915311982803403
ENSG00000184221	1250.952682399155	-0.4631998780899273	0.28551257460522694	-1.6223449307981808	0.1047295132935815	0.8915311982803403
ENSG00000142173	5507.478550446	-0.3149202414530514	0.19563228782784017	-1.6097559607859144	0.10745114284981827	0.8915311982803403
ENSG00000154727	3764.800158869306	0.27211523696799517	0.17007432693261013	1.5999783263926572	0.10960339159171781	0.8915311982803403
ENSG00000212938	216.08251520875305	-0.7148243104262376	0.4509118453389734	-1.5852861658332968	0.11290133078659333	0.8915311982803403
ENSG00000156239	3664.367495342149	-0.3676824128754453	0.23828584795083846	-1.5430308431548274	0.12282329260891102	0.9375511335813541
ENSG00000160182	178.72434244988543	-0.6966829635222753	0.475811114158519	-1.4642006939126935	0.14313912069505463	0.9576207126864448
ENSG00000186925	146.36732836791873	0.6765277489118523	0.4734763525050944	1.4288522443252816	0.1530467058074444	0.9576207126864448
ENSG00000154654	5151.845160830782	0.32460898875607813	0.2289324595049175	1.417924699092771	0.15621275047124175	0.9576207126864448
ENSG00000166351	1223.7834708760897	0.3454008564036861	0.2501267336750835	1.3809033977646086	0.16730866510472295	0.9576207126864448
ENSG00000159200	9651.034414157175	-0.23643508938327512	0.1760646823586333	-1.3428876604660036	0.17930835261791547	0.9576207126864448
ENSG00000159263	4524.3481174347835	-0.2560994422597181	0.19165615846379375	-1.3362442632288203	0.18146944773088566	0.9576207126864448
ENSG00000182591	328.47924201292994	-0.5024145631966566	0.3772085564165614	-1.3319278013455953	0.18288391438919926	0.9576207126864448
ENSG00000154640	1589.0987004298158	-0.24652154395296635	0.18785130649666826	-1.3123227543660372	0.18941125780694507	0.9576207126864448
ENSG00000160181	720.278715954021	0.33642768067955814	0.2630417178263654	1.2789898251106886	0.2009006389527426	0.9576207126864448
ENSG00000232263	142.50235952859737	-0.6732482257484326	0.5267244039527851	-1.2781792920473487	0.20118621591479047	0.9576207126864448
ENSG00000157617	9314.482081949378	-0.24960642805205854	0.19687298563352112	-1.2678551465496677	0.20484968434789552	0.9576207126864448
ENSG00000206104	85.48689038974148	0.7878160930215925	0.6256593421497382	1.259177382878502	0.20796626886823077	0.9576207126864448
ENSG00000183255	3872.5379888599227	-0.21711334157623927	0.17268684814809526	-1.2572662244089607	0.208657250021105	0.9576207126864448
